,age,workclass,fnlwgt,education,education.num,marital.status,occupation_category,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
0,late adulthood,?,77053,HS-grad,9,Widowed,,Other,Not-in-family,White,Female,0,4356,40,United-States,0
1,late adulthood,Private,132870,HS-grad,9,Widowed,White Collar,Exec-managerial,Not-in-family,White,Female,0,4356,18,United-States,0
2,late adulthood,?,186061,Some-college,10,Widowed,,Other,Unmarried,Black,Female,0,4356,40,United-States,0
3,adult,Private,140359,7th-8th,4,Divorced,Blue Collar,Machine-op-inspct,Unmarried,White,Female,0,3900,40,United-States,0
4,adult,Private,264663,Some-college,10,Separated,White Collar,Prof-specialty,Own-child,White,Female,0,3900,40,United-States,0
5,young adult,Private,216864,HS-grad,9,Divorced,Service,Other-service,Unmarried,White,Female,0,3770,45,United-States,0
6,young adult,Private,150601,10th,6,Separated,White Collar,Adm-clerical,Unmarried,White,Male,0,3770,40,United-States,0
7,late adulthood,State-gov,88638,Doctorate,16,Never-married,White Collar,Prof-specialty,Other-relative,White,Female,0,3683,20,United-States,1
8,late adulthood,Federal-gov,422013,HS-grad,9,Divorced,White Collar,Prof-specialty,Not-in-family,White,Female,0,3683,40,United-States,0
9,adult,Private,70037,Some-college,10,Never-married,Blue Collar,Craft-repair,Unmarried,White,Male,0,3004,60,?,1
10,adult,Private,172274,Doctorate,16,Divorced,White Collar,Prof-specialty,Unmarried,Black,Female,0,3004,35,United-States,1
11,young adult,Self-emp-not-inc,164526,Prof-school,15,Never-married,White Collar,Prof-specialty,Not-in-family,White,Male,0,2824,45,United-States,1
12,adult,Private,129177,Bachelors,13,Widowed,Service,Other-service,Not-in-family,White,Female,0,2824,20,United-States,1
13,young adult,Private,136204,Masters,14,Separated,White Collar,Exec-managerial,Not-in-family,White,Male,0,2824,55,United-States,1
14,adult,?,172175,Doctorate,16,Never-married,,Other,Not-in-family,White,Male,0,2824,40,United-States,1
15,adult,Private,45363,Prof-school,15,Divorced,White Collar,Prof-specialty,Not-in-family,White,Male,0,2824,40,United-States,1
16,adult,Private,172822,11th,7,Divorced,Blue Collar,Transport-moving,Not-in-family,White,Male,0,2824,76,United-States,1
17,adult,Private,317847,Masters,14,Divorced,White Collar,Exec-managerial,Not-in-family,White,Male,0,2824,50,United-States,1
18,young adult,Private,119592,Assoc-acdm,12,Never-married,Blue Collar,Handlers-cleaners,Not-in-family,Black,Male,0,2824,40,?,1
19,young adult,Private,203034,Bachelors,13,Separated,Service,Sales,Not-in-family,White,Male,0,2824,50,United-States,1
20,young adult,Private,188774,Bachelors,13,Never-married,White Collar,Exec-managerial,Not-in-family,White,Male,0,2824,40,United-States,1
21,young adult,Private,77009,11th,7,Separated,Service,Sales,Not-in-family,White,Female,0,2754,42,United-States,0
22,late adulthood,Private,29059,HS-grad,9,Divorced,Service,Sales,Unmarried,White,Female,0,2754,25,United-States,0
23,adult,Private,153870,Some-college,10,Married-civ-spouse,Blue Collar,Transport-moving,Husband,White,Male,0,2603,40,United-States,0
