,Unnamed: 0,Country,Confirmed,Deaths,Recovered,Active,NewCases,NewDeaths,NewRecovered,DeathsPer100Cases,RecoveredPer100Cases,DeathsPer100Recovered,ConfirmedLastWeek,1WeekChange,WHORegion,HDIRank,HDI,LifeExpectancyAtBirth,AvgTemperature
0,0,Albania,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(38.4, 75.8]","(0.739, 0.85]","(71.96, 78.38]","(44.751, 58.415]"
1,1,Algeria,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(75.8, 113.2]","(0.739, 0.85]","(71.96, 78.38]","(44.751, 58.415]"
2,2,Argentina,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(38.4, 75.8]","(0.739, 0.85]","(71.96, 78.38]","(58.415, 72.08]"
3,3,Australia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Western Pacific,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(58.415, 72.08]"
4,4,Austria,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(44.751, 58.415]"
5,5,Bahamas,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(19.666, 39.332]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(38.4, 75.8]","(0.739, 0.85]","(65.54, 71.96]","(72.08, 85.744]"
6,6,Bahrain,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(72.08, 85.744]"
7,7,Belarus,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(38.4, 75.8]","(0.739, 0.85]","(71.96, 78.38]","(17.353, 31.086]"
8,8,Belgium,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(12.152, 15.19]","(19.666, 39.332]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(44.751, 58.415]"
9,9,Belize,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(113.2, 150.6]","(0.627, 0.739]","(65.54, 71.96]","(72.08, 85.744]"
